SK_ID_CURR,TARGET
100001,0
100005,1
100013,1
100028,1
100038,1
100042,1
100057,1
100065,1
100066,0
100067,0
100074,1
100090,1
100091,1
100092,1
100106,0
100107,1
100109,1
100117,1
100128,0
100141,1
100150,1
100168,1
100169,0
100170,0
100171,1
100172,1
100184,0
100187,0
100212,0
100222,1
100223,1
100232,1
100241,1
100245,1
100253,1
100256,1
100271,0
100278,1
100280,1
100306,1
100311,1
100312,0
100330,1
100331,1
100352,0
100358,1
100367,1
100382,0
100384,0
100385,1
100386,1
100399,1
100404,1
100416,1
100422,1
100426,1
100438,1
100444,0
100445,1
100446,0
100447,0
100450,1
100466,1
100483,1
100484,0
100494,1
100510,1
100512,0
100517,1
100548,1
100551,0
100552,1
100553,0
100561,1
100568,1
100569,1
100591,1
100592,1
100602,1
100607,1
100613,1
100617,1
100618,1
100622,1
100625,1
100677,1
100699,0
100702,1
100711,0
100729,1
100740,1
100744,1
100745,1
100747,0
100751,1
100752,1
100753,1
100754,1
100760,1
100762,1
100763,1
100765,0
100770,1
100772,0
100777,1
100791,1
100792,1
100797,1
100823,1
100826,1
100830,0
100836,0
100872,1
100910,1
100913,1
100918,1
100931,1
100952,1
100953,0
100965,1
100970,1
100982,1
100983,1
100984,0
100987,1
100997,1
100998,1
101002,1
101005,1
101008,1
101020,1
101021,1
101024,0
101025,1
101026,1
101031,1
101041,0
101051,1
101055,1
101056,1
101057,0
101064,1
101079,1
101087,0
101090,1
101092,1
101097,1
101099,0
101107,1
101118,1
101125,1
101126,1
101128,1
101136,0
101140,1
101149,1
101160,1
101169,0
101181,1
101186,1
101190,1
101193,1
101194,1
101198,1
101200,1
101204,1
101211,1
101213,1
101223,1
101225,1
101237,0
101243,1
101244,1
101258,1
101259,1
101268,1
101269,1
101271,1
101279,1
101281,1
101287,1
101292,1
101294,0
101296,1
101297,1
101299,1
101301,1
101305,1
101308,0
101318,1
101327,1
101329,1
101332,1
101337,1
101343,1
101345,1
101346,1
101353,1
101354,1
101355,1
101356,1
101362,1
101363,0
101365,1
101366,1
101367,1
101368,1
101374,1
101380,1
101383,0
101398,1
101399,1
101401,1
101412,1
101426,1
101427,1
101428,1
101429,1
101434,1
101440,1
101448,1
101449,1
101465,1
101467,1
101472,0
101478,1
101497,1
101504,1
101547,1
101548,1
101555,1
101570,1
101572,1
101578,1
101580,1
101588,1
101602,1
101610,1
101614,1
101616,1
101643,1
101644,1
101649,1
101650,1
101665,1
101667,1
101669,1
101674,1
101675,1
101678,1
101682,1
101686,1
101697,1
101700,1
101711,1
101714,1
101715,1
101728,1
101732,1
101757,1
101758,1
101759,1
101762,0
101764,1
101780,1
101784,1
101789,0
101816,1
101819,1
101827,1
101863,1
101867,1
101870,0
101873,1
101878,0
101879,0
101880,1
101887,0
101897,0
101901,0
101903,1
101920,1
101921,1
101922,1
101961,1
101962,0
101971,1
101976,1
102002,0
102005,0
102007,1
102017,1
102019,1
102029,0
102051,1
102052,1
102054,1
102062,1
102067,1
102068,1
102070,1
102090,0
102092,1
102099,1
102100,1
102112,1
102113,0
102122,0
102123,1
102125,1
102126,1
102146,1
102147,1
102151,1
102158,0
102159,0
102162,1
102165,1
102166,1
102174,0
102193,1
102198,1
102205,1
102206,1
102218,1
102221,1
102230,0
102238,1
102248,0
102252,1
102259,1
102262,1
102273,1
102286,1
102293,1
102294,0
102296,1
102298,0
102303,1
102309,1
102315,1
102340,1
102342,1
102344,1
102346,1
102347,0
102374,1
102380,1
102387,1
102393,1
102403,0
102413,1
102414,0
102415,0
102416,1
102439,1
102441,0
102443,1
102444,0
102445,1
102448,0
102449,1
102450,1
102456,1
102458,1
102459,1
102465,0
102470,1
102471,1
102475,1
102476,1
102506,1
102509,0
102519,0
102522,1
102545,1
102549,1
102562,0
102563,0
102568,1
102582,1
102592,1
102597,1
102605,0
102614,0
102617,1
102634,1
102652,1
102655,0
102671,1
102694,1
102701,1
102703,0
102704,1
102713,0
102720,1
102731,1
102733,0
102749,1
102755,1
102763,1
102770,1
102772,1
102799,1
102838,0
102854,1
102862,1
102863,1
102867,1
102868,1
102878,1
102887,1
102898,1
102904,1
102912,1
102919,1
102927,1
102932,1
102933,1
102935,1
102958,1
102969,1
102971,1
102975,1
102979,0
102982,1
102987,0
102989,1
102995,1
102996,1
103000,1
103001,1
103004,1
103010,1
103025,1
103029,1
103046,1
103056,0
103062,1
103078,1
103083,0
103092,1
103096,1
103097,1
103102,1
103112,0
103132,1
103144,1
103145,0
103146,1
103147,1
103158,1
103171,1
103173,0
103184,1
103195,1
103196,1
103206,1
103230,1
103231,1
103232,1
103239,1
103240,1
103243,1
103252,1
103258,1
103259,1
103279,1
103280,1
103286,0
103287,1
103290,1
103298,1
103315,1
103319,1
103334,1
103336,1
103345,1
103368,1
103371,1
103377,1
103398,1
103404,1
103408,1
103410,1
103418,1
103420,1
103432,1
103433,1
103436,1
103440,1
103453,1
103459,0
103460,1
103461,1
103462,1
103473,1
103474,1
103475,1
103478,0
103480,1
103484,1
103494,1
103513,1
103515,1
103516,0
103525,1
103541,1
103544,1
103562,1
103570,1
103572,1
103574,1
103575,1
103591,1
103594,0
103609,1
103613,1
103614,1
103615,1
103624,1
103625,1
103628,1
103629,1
103647,0
103648,1
103651,1
103658,1
103668,1
103669,1
103676,1
103682,1
103683,0
103689,0
103725,0
103733,0
103744,1
103762,1
103771,1
103773,1
103783,1
103784,1
103808,1
103812,1
103813,0
103814,0
103818,1
103824,0
103828,1
103830,1
103840,1
103842,1
103847,1
103848,1
103851,0
103854,0
103857,1
103861,1
103862,1
103865,1
103870,1
103876,1
103891,1
103908,0
103914,1
103918,1
103940,1
103963,1
103966,1
103971,1
103980,1
103984,1
103985,1
103998,1
104019,1
104026,1
104035,1
104044,1
104045,1
104047,1
104051,1
104058,1
104063,1
104066,0
104087,0
104089,1
104095,1
104098,1
104104,0
104110,1
104120,1
104122,0
104131,0
104132,1
104135,1
104136,1
104149,1
104150,1
104156,1
104165,1
104175,0
104179,1
104184,0
104206,1
104216,1
104230,1
104257,0
104272,0
104273,0
104278,0
104294,0
104295,1
104297,1
104298,1
104308,1
104318,0
104319,1
104320,1
104327,1
104334,1
104344,1
104350,1
104351,0
104354,0
104369,1
104376,1
104381,0
104384,1
104391,1
104394,1
104398,1
104402,1
104408,0
104409,1
104410,1
104412,1
104417,1
104424,1
104426,1
104435,1
104445,1
104458,0
104460,1
104466,1
104472,1
104473,1
104479,1
104480,1
104482,0
104499,1
104501,0
104502,1
104506,1
104510,1
104512,1
104520,1
104528,1
104529,1
104541,1
104578,1
104584,0
104588,1
104602,1
104610,1
104611,1
104618,1
104620,1
104622,1
104624,1
104625,1
104634,1
104639,1
104646,0
104647,1
104652,1
104670,1
104677,0
104685,1
104691,1
104696,1
104699,1
104712,1
104714,1
104717,0
104718,1
104740,1
104741,1
104743,0
104744,0
104747,0
104767,1
104772,1
104776,1
104779,1
104814,1
104815,1
104830,1
104831,1
104833,1
104839,1
104840,1
104860,1
104861,0
104866,1
104870,0
104877,1
104878,1
104879,1
104880,1
104899,1
104906,1
104907,1
104913,1
104916,1
104921,1
104930,1
104931,1
104936,1
104937,1
104942,1
104943,0
104969,1
104972,1
104988,1
105013,1
105015,1
105019,1
105027,1
105030,1
105035,1
105041,1
105051,1
105056,1
105067,0
105071,1
105072,1
105074,1
105091,1
105101,0
105103,1
105134,1
105139,1
105142,1
105146,1
105163,1
105168,1
105172,1
105176,1
105195,1
105196,1
105197,1
105203,1
105223,1
105227,1
105228,0
105230,1
105231,1
105239,1
105242,1
105244,1
105245,1
105248,0
105249,1
105266,1
105271,0
105276,0
105282,1
105292,1
105297,1
105332,1
105333,1
105343,1
105344,1
105345,0
105357,1
105359,1
105366,1
105367,1
105370,0
105377,1
105390,0
105399,1
105403,1
105404,1
105414,1
105417,1
105425,1
105452,0
105454,1
105456,1
105470,1
105471,1
105483,1
105493,0
105508,1
105514,1
105515,1
105528,1
105529,1
105531,1
105532,1
105558,1
105574,1
105578,1
105584,1
105595,1
105617,1
105618,0
105621,1
105625,1
105629,1
105630,1
105634,1
105635,1
105641,1
105647,1
105648,1
105655,1
105657,1
105672,1
105678,1
105682,1
105691,1
105692,0
105706,1
105712,1
105720,1
105734,1
105735,1
105736,1
105737,0
105738,1
105740,1
105744,1
105747,1
105749,1
105754,1
105758,1
105760,1
105767,1
105784,1
105791,1
105802,1
105807,0
105809,1
105816,1
105817,0
105824,1
